Entity,Year,Nuclear (% electricity production) (World Bank (2014)),Renewable electricity (% electricity production) (World Bank (2014)),Nuclear + Renewables (% electricity production) (World Bank (2014)),Fossil fuels (% electricity production) (World Bank (2014))
World,1990,16.91979945,19.36152187,36.28132132,63.71867868
World,1991,17.3073265,19.23294985,36.54027635,63.45972365
World,1992,17.30355126,19.15826213,36.46181339,63.53818661
World,1993,17.4302075,19.787379,37.2175865,62.7824135
World,1994,17.41505411,19.53734492,36.95239903,63.04760097
World,1995,17.51089409,19.83425132,37.34514541,62.65485459
World,1996,17.59277219,19.50401646,37.09678865,62.90321135
World,1997,17.05588364,19.38194755,36.43783119,63.56216881
World,1998,16.98434472,19.0355085,36.01985322,63.98014678
World,1999,17.09378418,18.66521701,35.75900119,64.24099881
World,2000,16.71270553,18.33247347,35.045179,64.954821
World,2001,16.88721571,17.8688251,34.75604081,65.24395919
World,2002,16.39317981,17.78813664,34.18131645,65.81868355
World,2003,15.66387848,17.37619532,33.0400738,66.9599262
World,2004,15.55963444,17.8054605,33.36509494,66.63490506
World,2005,15.07942138,17.95229947,33.03172085,66.96827915
World,2006,14.64396801,18.11280189,32.7567699,67.2432301
World,2007,13.67209537,17.87544809,31.54754346,68.45245654
World,2008,13.48448605,18.54967514,32.03416119,67.96583881
World,2009,13.35260783,19.32868062,32.68128845,67.31871155
World,2010,12.79869857,19.56337971,32.36207828,67.63792172
World,2011,11.61369575,19.9331194,31.54681515,68.45318485
World,2012,10.81918143,20.89085677,31.7100382,68.2899618
World,2013,10.58648789,21.66894032,32.25542821,67.74457179
World,2014,10.62408972,22.34902703,32.97311675,67.02688325
