Entity,Year,Global Population by Region (HYDE (2016))
Africa,-10000,227642.338
Africa,-9000,323065.0785
Africa,-8000,463005.5502
Africa,-7000,670056.2834
Africa,-6000,979154.557
Africa,-5000,1444562.085
Africa,-4000,2251193.86
Africa,-3000,4007633.25
Africa,-2000,6064707.34
Africa,-1000,8992511.22
Africa,0,14807859.26
Africa,100,16184900.1
Africa,200,17753627.8
Africa,300,18711742.8
Africa,400,19971661.1
Africa,500,21484472.4
Africa,600,23484767.7
Africa,700,27062785.8
Africa,800,31604462.9
Africa,900,35595881.2
Africa,1000,39676488.4
Africa,1100,42226806.2
Africa,1200,45294732.7
Africa,1300,50663811.3
Africa,1400,54517682.3
Africa,1500,58260543.1
Africa,1600,68177777.4
Africa,1700,74819717.3
Africa,1710,74143391.4
Africa,1720,74614164.1
Africa,1730,75130054
Africa,1740,75694212.9
Africa,1750,76308288.6
Africa,1760,76974815.8
Africa,1770,77699719.9
Africa,1780,78485961.4
Africa,1790,79343869.4
Africa,1800,80276318.6
Africa,1810,81791724.7
Africa,1820,83461926.5
Africa,1830,87181113.8
Africa,1840,91208363.6
Africa,1850,95536108.3
Africa,1860,99273200.9
Africa,1870,104513013
Africa,1880,111067182
Africa,1890,119074765
Africa,1900,127772408
Africa,1910,137288347
Africa,1920,148377407
Africa,1930,162706597
Africa,1940,183925209
Africa,1950,227194807
Africa,1960,284946620
Africa,1970,367971752
Africa,1980,482456504
Africa,1990,634787136
Africa,2000,808930198
Africa,2001,830417920
Africa,2002,851895602
Africa,2003,873381232
Africa,2004,894868608
Africa,2005,916352402
Africa,2006,937833748
Africa,2007,959316906
Africa,2008,980803990
Africa,2009,1002286504
Africa,2010,1023772292
Africa,2011,1048243738
Africa,2012,1072717810
Africa,2013,1097193350
Africa,2014,1121660272
Africa,2015,1146137034
Africa,2016,1170611400
Asia,-10000,1584217.094
Asia,-9000,2143974.441
Asia,-8000,2960449.41
Asia,-7000,4235793.84
Asia,-6000,6419158.63
Asia,-5000,10376139.54
Asia,-4000,17180956.69
Asia,-3000,28134811.88
Asia,-2000,48511557.3
Asia,-1000,74691457.1
Asia,0,167920736.9
Asia,100,168862262.7
Asia,200,168525180.3
Asia,300,154732553.5
Asia,400,167592644
Asia,500,180075643.3
Asia,600,198655487.9
Asia,700,197952053.4
Asia,800,196683325
Asia,900,211841004
Asia,1000,213887198
Asia,1100,275104547
Asia,1200,299994465
Asia,1300,280540761
Asia,1400,280696929
Asia,1500,316294902
Asia,1600,349386745
Asia,1700,405016440
Asia,1710,419660565
Asia,1720,443045632
Asia,1730,458631711
Asia,1740,482685671
Asia,1750,526276619
Asia,1760,553548282
Asia,1770,585306967
Asia,1780,649660945
Asia,1790,681640765
Asia,1800,684006510
Asia,1810,744926496
Asia,1820,763664085
Asia,1830,819968314
Asia,1840,852310100
Asia,1850,901881099
Asia,1860,927171644
Asia,1870,894300796
Asia,1880,927517851
Asia,1890,992852778
Asia,1900,1056858278
Asia,1910,1111814493
Asia,1920,1190678598
Asia,1930,1285221965
Asia,1940,1435364164
Asia,1950,1551311100
Asia,1960,1865794904
Asia,1970,2322381686
Asia,1980,2836685330
Asia,1990,3410609494
Asia,2000,3925507454
Asia,2001,3969634582
Asia,2002,4013749568
Asia,2003,4057873226
Asia,2004,4102003630
Asia,2005,4146127808
Asia,2006,4190243074
Asia,2007,4234365214
Asia,2008,4278492420
Asia,2009,4322618126
Asia,2010,4366734014
Asia,2011,4405843166
Asia,2012,4444949314
Asia,2013,4484061774
Asia,2014,4523180350
Asia,2015,4562294512
Asia,2016,4601399150
Europe,-10000,93359.95
Europe,-9000,136452.99
Europe,-8000,201835.82
Europe,-7000,302210.54
Europe,-6000,494503.2
Europe,-5000,770611.8
Europe,-4000,1383253.1
Europe,-3000,2530606.7
Europe,-2000,5856942
Europe,-1000,11571351
Europe,0,30386909
Europe,100,31654726
Europe,200,32857292
Europe,300,31271139
Europe,400,29690050
Europe,500,25841934
Europe,600,21844877
Europe,700,23901524
Europe,800,26253626
Europe,900,29345224
Europe,1000,32610454.65
Europe,1100,39036062.1
Europe,1200,53464989.98
Europe,1300,74698646.3
Europe,1400,52128567.08
Europe,1500,67419981.33
Europe,1600,87507720.05
Europe,1700,98653416.26
Europe,1710,105104551.5
Europe,1720,109678539.7
Europe,1730,114449781.2
Europe,1740,119249466.6
Europe,1750,124103304.9
Europe,1760,129054787.5
Europe,1770,134074746.2
Europe,1780,139586801.3
Europe,1790,145580845.4
Europe,1800,151337666.1
Europe,1810,158422205.4
Europe,1820,169412174
Europe,1830,184337099.8
Europe,1840,199579783.2
Europe,1850,211588560.1
Europe,1860,225658171.4
Europe,1870,240570927.3
Europe,1880,261362369.8
Europe,1890,281776186.2
Europe,1900,304666634.3
Europe,1910,332272431.5
Europe,1920,338950474.2
Europe,1930,365930883.3
Europe,1940,384557230.7
Europe,1950,401480862
Europe,1960,434410249
Europe,1970,469262861
Europe,1980,491810618
Europe,1990,506055282
Europe,2000,516407266
Europe,2001,518015946
Europe,2002,519622096
Europe,2003,521227996
Europe,2004,522834226
Europe,2005,524440526
Europe,2006,526045856
Europe,2007,527653746
Europe,2008,529255276
Europe,2009,530860966
Europe,2010,532468286
Europe,2011,534123199.8
Europe,2012,535783813.6
Europe,2013,537444557.4
Europe,2014,539100951.2
Europe,2015,540760575
Europe,2016,542415928.8
North and Central America,-10000,1179200.17
North and Central America,-9000,1423041.92
North and Central America,-8000,1722407.99
North and Central America,-7000,2090695.93
North and Central America,-6000,2544659.23
North and Central America,-5000,3105304.17
North and Central America,-4000,3798975.95
North and Central America,-3000,4658938.48
North and Central America,-2000,5727196.3
North and Central America,-1000,7057116.16
North and Central America,0,8717237.96
North and Central America,100,9219100.62
North and Central America,200,9752459.96
North and Central America,300,10319943.97
North and Central America,400,10924257.25
North and Central America,500,11568838.89
North and Central America,600,12257448.21
North and Central America,700,12994597.01
North and Central America,800,13785817.7
North and Central America,900,15945381.2
North and Central America,1000,18134280.2
North and Central America,1100,20494088.9
North and Central America,1200,22954475.4
North and Central America,1300,25468696.6
North and Central America,1400,28147356.8
North and Central America,1500,30991611.3
North and Central America,1600,3811802.1
North and Central America,1700,6766907.5
North and Central America,1710,7645898.7
North and Central America,1720,8546604.4
North and Central America,1730,9468595.2
North and Central America,1740,10416043.5
North and Central America,1750,11394028.2
North and Central America,1760,12408821.2
North and Central America,1770,13468188.8
North and Central America,1780,14595321.2
North and Central America,1790,15785091.2
North and Central America,1800,17979684.7
North and Central America,1810,20767559
North and Central America,1820,24163022
North and Central America,1830,28668295
North and Central America,1840,34111972
North and Central America,1850,41345808
North and Central America,1860,51405345
North and Central America,1870,60066260
North and Central America,1880,73523425
North and Central America,1890,89408743
North and Central America,1900,105797119
North and Central America,1910,126453777
North and Central America,1920,144357402
North and Central America,1930,168083404
North and Central America,1940,184461715
North and Central America,1950,226209521
North and Central America,1960,276043276
North and Central America,1970,325944484
North and Central America,1980,375635408
North and Central America,1990,428272840
North and Central America,2000,486880570
North and Central America,2001,492366094
North and Central America,2002,497854858
North and Central America,2003,503342438
North and Central America,2004,508828774
North and Central America,2005,514315776
North and Central America,2006,519801498
North and Central America,2007,525290102
North and Central America,2008,530776734
North and Central America,2009,536261864
North and Central America,2010,541749246
North and Central America,2011,546802174
North and Central America,2012,551851944
North and Central America,2013,556901434
North and Central America,2014,561950624
North and Central America,2015,567001696
North and Central America,2016,572050884
Oceania,-10000,250004.2
Oceania,-9000,250008
Oceania,-8000,250015.4
Oceania,-7000,250029.8
Oceania,-6000,250058.1
Oceania,-5000,250114.7
Oceania,-4000,250227.4
Oceania,-3000,250452.1
Oceania,-2000,250901
Oceania,-1000,261067.1
Oceania,0,265027.2
Oceania,100,266657.1
Oceania,200,268471.2
Oceania,300,270494.2
Oceania,400,272755.1
Oceania,500,275286.7
Oceania,600,278132
Oceania,700,281343.4
Oceania,800,284985.5
Oceania,900,289147
Oceania,1000,293945
Oceania,1100,299538.6
Oceania,1200,322151.6
Oceania,1300,334867.1
Oceania,1400,345790.6
Oceania,1500,419784.2
Oceania,1600,498119.9
Oceania,1700,576674
Oceania,1710,571722.9
Oceania,1720,577717.7
Oceania,1730,584347.6
Oceania,1740,591695.4
Oceania,1750,599853.5
Oceania,1760,608949.1
Oceania,1770,619124.6
Oceania,1780,630567.6
Oceania,1790,643976.1
Oceania,1800,659794.6
Oceania,1810,655376.5
Oceania,1820,686449.8
Oceania,1830,753402.7
Oceania,1840,875668.6
Oceania,1850,1199910
Oceania,1860,1904627
Oceania,1870,2565860
Oceania,1880,3185096
Oceania,1890,4254744
Oceania,1900,5069226
Oceania,1910,5944400
Oceania,1920,7176626
Oceania,1930,8458178
Oceania,1940,9564118
Oceania,1950,11014976
Oceania,1960,13752965
Oceania,1970,16929604
Oceania,1980,19522326
Oceania,1990,22420876
Oceania,2000,25247762
Oceania,2001,25643422
Oceania,2002,26038902
Oceania,2003,26434390
Oceania,2004,26830132
Oceania,2005,27225836
Oceania,2006,27621168
Oceania,2007,28016532
Oceania,2008,28412240
Oceania,2009,28807732
Oceania,2010,29203270
Oceania,2011,29659486
Oceania,2012,30115860
Oceania,2013,30572912
Oceania,2014,31028916
Oceania,2015,31485418
Oceania,2016,31941760
South America,-10000,1097845
South America,-9000,1340430.4
South America,-8000,1645168.1
South America,-7000,2029093.3
South America,-6000,2514290
South America,-5000,3128993
South America,-4000,3910027
South America,-3000,4904660
South America,-2000,6174469
South America,-1000,7845694
South America,0,10025586
South America,100,10716793
South America,200,11454399
South America,300,12243710
South America,400,13087940
South America,500,13991412
South America,600,14958220
South America,700,15993496
South America,800,17102495
South America,900,17952388
South America,1000,18807178
South America,1100,20765996
South America,1200,22722582
South America,1300,24685468
South America,1400,26649364
South America,1500,29861227
South America,1600,6380056.1
South America,1700,5901355.4
South America,1710,6079375.6
South America,1720,6275258.1
South America,1730,6492677.8
South America,1740,6736319.9
South America,1750,7011968
South America,1760,7327126
South America,1770,7690877
South America,1780,8114832
South America,1790,8613452
South America,1800,9205042
South America,1810,10125132
South America,1820,11430740
South America,1830,13892466
South America,1840,16280385
South America,1850,19039251
South America,1860,22196843
South America,1870,24890123
South America,1880,28490162
South America,1890,35367349
South America,1900,41841100
South America,1910,51202568
South America,1920,65951156
South America,1930,82770464
South America,1940,91332740
South America,1950,112540116
South America,1960,147837568
South America,1970,191577568
South America,1980,240980100
South America,1990,295603270
South America,2000,347356250
South America,2001,351868650
South America,2002,356380020
South America,2003,360888420
South America,2004,365400660
South America,2005,369914770
South America,2006,374425600
South America,2007,378936350
South America,2008,383445760
South America,2009,387953320
South America,2010,392463900
South America,2011,396205560
South America,2012,399949870
South America,2013,403691730
South America,2014,407435460
South America,2015,411177280
South America,2016,414921020
