Entity,Year,Sheep and goat,Beef and Buffalo,Pigmeat,Poultry,Eggs
World,1961,6032191,28755714,24760707,8922991,13868000
World,1962,6166781,30307673,26079815,9166542,14208000
World,1963,6163326,31976185,27819596,9711570,14365000
World,1964,6158124,32437146,28684001,10092473,14985000
World,1965,6212144,33040548,31279297,10910644,15397000
World,1966,6317857,34754098,32387234,11626601,15778000
World,1967,6493821,36497312,33847027,12320666,16489000
World,1968,6672625,38228120,34405489,12700237,16957000
World,1969,6650206,39212224,34151071,13672688,17693000
World,1970,6830942,39662457,35825806,15021377,18556000
World,1971,6961677,39414287,39441593,15664655,19189000
World,1972,7018105,39899373,40626101,16751277,19768000
World,1973,6785120,40260716,40468435,17537523,19941000
World,1974,6561829,43311973,42412383,18227374,20429000
World,1975,6791671,45198729,41652862,18610485,21099000
World,1976,6819910,47582912,40748399,19894842,21376000
World,1977,6884345,47986751,42924601,21009054,22319000
World,1978,7044103,48514097,45682811,22599929,23268000
World,1979,7044175,47357186,50029300,24446982,23859000
World,1980,7341533,47172698,52657665,25839307,24540000
World,1981,7621505,47634473,53060008,27364807,25000000
World,1982,7712227,47727644,53272815,28286552,25703000
World,1983,7993433,48999507,55545314,28981986,26232000
World,1984,8072131,50395178,58424822,29535526,27521000
World,1985,8248783,51304055,60054862,30950233,29137000
World,1986,8335775,53086455,60837461,32976848,29980000
World,1987,8650214,53048483,63727269,35625245,30739000
World,1988,9053236,53542670,67060870,37404965,32065000
World,1989,9380976,53765572,68084574,38471148,32232000
World,1990,9700135,55296249,69961242,40888699,33124000
World,1991,9886255,55971962,71175560,43108432,34593000
World,1992,9917651,55155188,72582896,45235543,34962000
World,1993,10069961,54593928,74069539,47942684,36193000
World,1994,10291586,55141617,76289904,50732981,39370000
World,1995,10536962,55715509,77293291,54494000,41138000
World,1996,10230728,56481202,77725613,55992506,42485000
World,1997,10593733,57264704,78434659,59383794,44033000
World,1998,10993608,57147758,83250958,62035043,45573000
World,1999,11235500,58243850,84755294,65037460,47233000
World,2000,11541612,58918981,86266628,68541484,48579000
World,2001,11584135,57934414,86623473,70976322,49500000
World,2002,11591485,59562204,89184687,73721682,50719000
World,2003,11864248,59895864,92694955,75255784,51630000
World,2004,12216082,60939684,93127319,78013544,52682000
World,2005,12679549,62244696,95517179,80816671,53665000
World,2006,12815846,64067994,97492614,82977700,54609000
World,2007,13215183,65690802,100280476,87620700,56273000
World,2008,13289796,65838913,103040505,92436679,58218000
World,2009,13341872,65937905,104706835,95105449,59280000
World,2010,13380130,66661508,107436186,99344916,60379000
World,2011,13474299,66264948,107397247,102846961,61318000
World,2012,13713681,66899253,110620301,106013985,62769000
World,2013,14054819,67994737,112333009,109019989,64332000
World,2050,25000000,106000000,143000000,181000000,102000000
