Entity,Year,Microprocessor clock speed
World,1976,1350000
World,1977,2060000
World,1978,2140000
World,1979,2290000
World,1980,1940000
World,1981,2410000
World,1982,2630000
World,1983,4070000
World,1984,5190000
World,1985,5890000
World,1986,7210000
World,1987,9430000
World,1988,12660000
World,1989,15630000
World,1990,19440000
World,1991,21180000
World,1992,29030000
World,1993,34150000
World,1994,53380000
World,1995,78040000
World,1996,140500000
World,1997,184280000
World,1998,337000000
World,1999,413680000
World,2001,1684000000
World,2002,2317000000
World,2003,3088000000
World,2004,3990000000
World,2005,5173000000
World,2006,5631000000
World,2007,6739000000
World,2010,11511000000
World,2013,19348000000
World,2016,28751000000
